Date,Name,Symbol,Price,Market Cap,Circulating Supply
Historical Snapshot - 10 January 2021,EOS,EOS,$3.09,"$2,900,090,457.83","939,365,114"
Historical Snapshot - 10 January 2021,TRON,TRX,$0.03293,"$2,360,097,139.08","71,659,657,369"
Historical Snapshot - 10 January 2021,NEM,XEM,$0.2356,"$2,119,987,262.45","8,999,999,999"
Historical Snapshot - 10 January 2021,Tezos,XTZ,$2.77,"$2,095,911,475.58","756,305,179"
Historical Snapshot - 10 January 2021,THETA,THETA,$1.99,"$1,990,299,909.57","1,000,000,000"
Historical Snapshot - 07 February 2021,Bitcoin,BTC,"$38,903.44","$724,478,833,211.10","18,622,487"
Historical Snapshot - 07 February 2021,Ethereum,ETH,"$1,614.23","$184,955,254,624.65","114,578,160"
Historical Snapshot - 07 February 2021,Tether,USDT,$1.00,"$28,640,986,238.57","28,606,332,458"
Historical Snapshot - 07 February 2021,Cardano,ADA,$0.6632,"$20,634,977,898.63","31,112,484,646"
Historical Snapshot - 07 February 2021,XRP,XRP,$0.418,"$18,976,956,806.59","45,404,028,640"
Historical Snapshot - 07 February 2021,Polkadot,DOT,$19.79,"$17,972,785,450.43","908,009,247"
Historical Snapshot - 07 February 2021,Binance Coin,BNB,$68.59,"$10,599,484,196.39","154,532,785"
Historical Snapshot - 07 February 2021,Chainlink,LINK,$24.79,"$10,052,631,510.17","405,509,556"
Historical Snapshot - 07 February 2021,Litecoin,LTC,$151.14,"$10,041,267,657.73","66,436,829"
Historical Snapshot - 07 February 2021,Dogecoin,DOGE,$0.07878,"$10,105,792,829.48","128,275,738,389"
Historical Snapshot - 07 February 2021,Stellar,XLM,$0.3835,"$8,561,005,916.78","22,324,934,033"
Historical Snapshot - 07 February 2021,Bitcoin Cash,BCH,$445.17,"$8,301,841,440.08","18,648,713"
Historical Snapshot - 07 February 2021,USD Coin,USDC,$0.9999,"$6,439,675,443.68","6,440,407,860"
Historical Snapshot - 07 February 2021,Aave,AAVE,$461.51,"$5,700,023,386.79","12,350,857"
Historical Snapshot - 07 February 2021,Uniswap,UNI,$18.69,"$5,623,224,621.63","300,918,579"
Historical Snapshot - 07 February 2021,Wrapped Bitcoin,WBTC,"$38,877.48","$4,728,485,253.16","121,625"
Historical Snapshot - 07 February 2021,Bitcoin SV,BSV,$183.06,"$3,413,439,218.90","18,646,552"
Historical Snapshot - 07 February 2021,EOS,EOS,$3.44,"$3,272,792,711.56","950,348,329"
Historical Snapshot - 07 February 2021,Cosmos,ATOM,$13.92,"$2,922,904,286.54","210,028,496"
Historical Snapshot - 07 February 2021,NEM,XEM,$0.3052,"$2,746,684,187.50","8,999,999,999"
Historical Snapshot - 24 January 2021,Bitcoin,BTC,"$32,289.38","$600,888,568,009.50","18,609,481"
Historical Snapshot - 24 January 2021,Ethereum,ETH,"$1,391.61","$159,184,556,292.12","114,388,819"
Historical Snapshot - 24 January 2021,Tether,USDT,$1.00,"$24,852,549,110.90","24,817,394,865"
Historical Snapshot - 24 January 2021,Polkadot,DOT,$18.00,"$16,268,654,954.28","903,831,755"
Historical Snapshot - 24 January 2021,XRP,XRP,$0.2735,"$12,418,387,933.00","45,404,028,640"
Historical Snapshot - 24 January 2021,Cardano,ADA,$0.3539,"$11,010,118,426.55","31,112,484,646"
Historical Snapshot - 24 January 2021,Chainlink,LINK,$24.70,"$9,942,734,312.55","402,509,556"
Historical Snapshot - 24 January 2021,Litecoin,LTC,$141.48,"$9,387,244,667.67","66,351,591"
Historical Snapshot - 24 January 2021,Bitcoin Cash,BCH,$440.10,"$8,201,974,858.11","18,636,475"
Historical Snapshot - 24 January 2021,Binance Coin,BNB,$41.88,"$6,472,081,159.88","154,532,785"
Historical Snapshot - 24 January 2021,Stellar,XLM,$0.2716,"$6,000,202,935.16","22,095,601,011"
Historical Snapshot - 24 January 2021,USD Coin,USDC,$1.00,"$5,521,308,075.36","5,520,411,395"
Historical Snapshot - 24 January 2021,Wrapped Bitcoin,WBTC,"$32,241.80","$3,639,190,852.80","112,872"
Historical Snapshot - 24 January 2021,Uniswap,UNI,$12.05,"$3,450,685,058.90","286,446,900"
Historical Snapshot - 24 January 2021,Aave,AAVE,$264.85,"$3,251,074,103.96","12,275,146"
Historical Snapshot - 24 January 2021,Bitcoin SV,BSV,$174.95,"$3,260,068,492.22","18,634,145"
Historical Snapshot - 24 January 2021,EOS,EOS,$2.71,"$2,551,291,495.58","939,757,474"
Historical Snapshot - 24 January 2021,Monero,XMR,$137.47,"$2,449,982,300.70","17,821,881"
Historical Snapshot - 24 January 2021,Tezos,XTZ,$3.04,"$2,306,657,465.66","757,762,398"
Historical Snapshot - 24 January 2021,TRON,TRX,$0.03002,"$2,151,247,381.72","71,659,657,369"
Historical Snapshot - 27 December 2020,Bitcoin,BTC,"$26,272.29","$488,213,268,382.01","18,582,818"
Historical Snapshot - 27 December 2020,Ethereum,ETH,$682.64,"$77,828,069,141.05","114,010,020"
Historical Snapshot - 27 December 2020,Tether,USDT,$0.9989,"$20,729,387,121.49","20,753,166,934"
Historical Snapshot - 27 December 2020,XRP,XRP,$0.283,"$12,851,124,973.13","45,404,028,640"
Historical Snapshot - 27 December 2020,Litecoin,LTC,$127.52,"$8,439,551,136.23","66,183,749"
Historical Snapshot - 27 December 2020,Bitcoin Cash,BCH,$338.18,"$6,290,438,770.71","18,600,863"
Historical Snapshot - 27 December 2020,Binance Coin,BNB,$33.51,"$4,839,330,613.85","144,406,561"
Historical Snapshot - 27 December 2020,Chainlink,LINK,$12.13,"$4,833,804,693.48","398,509,556"
Historical Snapshot - 27 December 2020,Cardano,ADA,$0.1544,"$4,804,453,143.56","31,112,484,646"
Historical Snapshot - 27 December 2020,Polkadot,DOT,$5.14,"$4,592,307,413.22","894,107,647"
Historical Snapshot - 27 December 2020,USD Coin,USDC,$1.00,"$3,582,730,027.76","3,582,447,739"
Historical Snapshot - 27 December 2020,Stellar,XLM,$0.145,"$3,170,263,194.62","21,867,979,643"
Historical Snapshot - 27 December 2020,Bitcoin SV,BSV,$167.30,"$3,113,350,011.74","18,609,102"
Historical Snapshot - 27 December 2020,Wrapped Bitcoin,WBTC,"$26,237.58","$3,035,975,344.15","115,711"
Historical Snapshot - 27 December 2020,Monero,XMR,$157.26,"$2,798,785,869.76","17,797,384"
Historical Snapshot - 27 December 2020,EOS,EOS,$2.71,"$2,549,025,780.05","938,972,219"
Historical Snapshot - 20 December 2020,Bitcoin,BTC,"$23,477.30","$436,129,331,482.26","18,576,643"
Historical Snapshot - 27 December 2020,NEM,XEM,$0.2359,"$2,123,154,048.23","8,999,999,999"
Historical Snapshot - 27 December 2020,TRON,TRX,$0.02885,"$2,067,107,839.20","71,659,657,369"
