Date,Name,Symbol,Price,Market Cap,Circulating Supply,url
Historical Snapshot - 26 April 2020,Bitcoin,BTC,,"$140,903,867,572.59","18,347,175",https://coinmarketcap.com/historical/20200426/
Historical Snapshot - 22 March 2020,Bitcoin,BTC,,"$106,591,196,068.93","18,282,425",https://coinmarketcap.com/historical/20200322/
Historical Snapshot - 05 April 2020,Bitcoin,BTC,,"$124,328,853,511.62","18,307,537",https://coinmarketcap.com/historical/20200405/
Historical Snapshot - 15 March 2020,Bitcoin,BTC,,"$98,530,059,889.97","18,272,312",https://coinmarketcap.com/historical/20200315/
Historical Snapshot - 01 March 2020,Bitcoin,BTC,,"$156,238,987,739.91","18,246,987",https://coinmarketcap.com/historical/20200301/
Historical Snapshot - 16 February 2020,Bitcoin,BTC,,"$181,017,665,264.46","18,221,237",https://coinmarketcap.com/historical/20200216/
Historical Snapshot - 08 March 2020,Bitcoin,BTC,,"$148,060,284,561.06","18,260,750",https://coinmarketcap.com/historical/20200308/
Historical Snapshot - 23 February 2020,Bitcoin,BTC,,"$180,963,233,539.78","18,233,962",https://coinmarketcap.com/historical/20200223/
Historical Snapshot - 02 February 2020,Bitcoin,BTC,,"$170,034,976,661.75","18,196,525",https://coinmarketcap.com/historical/20200202/
Historical Snapshot - 09 February 2020,Bitcoin,BTC,,"$184,214,765,394.47","18,209,025",https://coinmarketcap.com/historical/20200209/
Historical Snapshot - 19 January 2020,Bitcoin,BTC,,"$158,194,319,734.80","18,170,212",https://coinmarketcap.com/historical/20200119/
Historical Snapshot - 26 January 2020,Bitcoin,BTC,,"$156,322,174,637.23","18,183,700",https://coinmarketcap.com/historical/20200126/
Historical Snapshot - 05 January 2020,Bitcoin,BTC,,"$134,469,548,249.08","18,143,812",https://coinmarketcap.com/historical/20200105/
Historical Snapshot - 12 January 2020,Bitcoin,BTC,,"$148,752,956,965.75","18,157,225",https://coinmarketcap.com/historical/20200112/
Historical Snapshot - 22 December 2019,Bitcoin,BTC,,"$136,088,022,048.89","18,117,075",https://coinmarketcap.com/historical/20191222/
Historical Snapshot - 17 November 2019,Bitcoin,BTC,,"$154,861,842,424.93","18,053,425",https://coinmarketcap.com/historical/20191117/
Historical Snapshot - 29 December 2019,Bitcoin,BTC,,"$134,570,835,775.06","18,129,750",https://coinmarketcap.com/historical/20191229/
